code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal
1929,1929.T,日特建設,2022-12,CONTINUE,11,73.84,75.45,True,False,1.61,2022-02,738.0,926.0,926.0,25.47,,,,,,,,,,,,,,,,,,,,,,,
6902,6902.T,デンソー,2022-12,CONTINUE,2,38.34,39.7,False,False,1.36,2022-11,1878.5,1634.0,1634.0,-13.02,,,,,,,,,,,,,,,,,,,,,,,
6151,6151.T,日東工器,2022-12,CONTINUE,6,28.82,30.12,True,False,1.3,2022-07,1593.0,1494.0,1494.0,-6.21,,,,,,,,,,,,,,,,,,,,,,,
7840,7840.T,フランスベッドホールディングス,2022-12,CONTINUE,5,53.97,55.26,True,False,1.29,2022-08,988.0,940.0,940.0,-4.86,,,,,,,,,,,,,,,,,,,,,,,
7976,7976.T,三菱鉛筆,2022-12,NEW,1,54.8,56.05,True,True,1.25,2022-12,1432.0,1432.0,1432.0,0.0,1398.88,1409.36,1379.15,True,True,True,False,False,False,True,41883.0,1580.0,-9.37,False,0.82,1.74,1.07,False,2,True,5.52,0.65,False
9505,9505.T,北陸電力,2022-12,CONTINUE,3,50.97,52.14,True,False,1.16,2022-10,498.0,547.0,547.0,9.84,,,,,,,,,,,,,,,,,,,,,,,
2154,2154.T,オープンアップグループ,2022-12,CONTINUE,4,57.47,58.62,False,False,1.15,2022-09,1607.0,1701.0,1701.0,5.85,,,,,,,,,,,,,,,,,,,,,,,
7595,7595.T,アルゴグラフィックス,2022-12,CONTINUE,7,61.12,62.22,True,False,1.1,2022-06,801.25,930.0,930.0,16.07,,,,,,,,,,,,,,,,,,,,,,,
6963,6963.T,ローム,2022-12,CONTINUE,2,45.87,46.88,False,False,1.01,2022-11,2712.5,2382.5,2382.5,-12.17,,,,,,,,,,,,,,,,,,,,,,,
8233,8233.T,高島屋,2022-12,CONTINUE,10,89.11,90.06,True,False,0.95,2022-03,581.0,921.5,921.5,58.61,,,,,,,,,,,,,,,,,,,,,,,
4577,4577.T,ダイト,2022-12,NEW,1,33.29,34.22,True,True,0.94,2022-12,1134.55,1134.55,1134.55,0.0,1136.07,1142.3,1197.22,False,False,False,False,False,False,False,54311.0,1393.18,-18.56,False,0.71,1.71,1.1,False,4,False,-7.8,1.16,False
3465,3465.T,ケイアイスター不動産,2022-12,CONTINUE,2,40.58,41.45,False,False,0.87,2022-11,2465.0,2295.0,2295.0,-6.9,,,,,,,,,,,,,,,,,,,,,,,
4901,4901.T,富士フイルムホールディングス,2022-12,CONTINUE,3,29.21,30.08,True,False,0.87,2022-10,2273.0,2208.33,2208.33,-2.84,,,,,,,,,,,,,,,,,,,,,,,
3663,3663.T,セルシス,2022-12,CONTINUE,6,31.95,32.75,False,False,0.8,2022-07,809.0,670.0,670.0,-17.18,,,,,,,,,,,,,,,,,,,,,,,
3382,3382.T,セブン＆アイ  ･ホールディングス,2022-12,CONTINUE,2,64.96,65.71,True,False,0.75,2022-11,1859.67,1886.67,1886.67,1.45,,,,,,,,,,,,,,,,,,,,,,,
7313,7313.T,テイ・エステック,2022-12,CONTINUE,5,49.77,50.52,False,False,0.75,2022-08,1564.0,1515.0,1515.0,-3.13,,,,,,,,,,,,,,,,,,,,,,,
4433,4433.T,ﾋﾄ･ｺﾐｭﾆｹｰｼｮﾝｽﾞ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ,2022-12,CONTINUE,6,32.88,33.62,False,False,0.74,2022-07,1633.0,1519.0,1519.0,-6.98,,,,,,,,,,,,,,,,,,,,,,,
3003,3003.T,ヒューリック,2022-12,CONTINUE,3,43.79,44.5,True,False,0.7,2022-10,1080.0,1040.0,1040.0,-3.7,,,,,,,,,,,,,,,,,,,,,,,
