code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30
4229,4229.T,群栄化学工業,2025-01,NEW,1,43.58,44.13,True,True,0.54,2025-01,2757.0,2757.0,2757.0,0.0,2717.72,2716.71,2952.14,True,True,False,False,True,False,False,9860.0
8153,8153.T,モスフードサービス,2025-01,CONTINUE,2,56.47,56.98,False,False,0.5,2024-12,3700.0,3515.0,3515.0,-5.0,,,,,,,,,,,
8086,8086.T,ニプロ,2025-01,CONTINUE,4,73.06,73.42,False,False,0.36,2024-10,1412.5,1451.0,1451.0,2.73,,,,,,,,,,,
2353,2353.T,日本駐車場開発,2025-01,CONTINUE,12,53.17,53.49,True,False,0.31,2024-02,187.0,212.0,212.0,13.37,,,,,,,,,,,
9740,9740.T,セントラル警備保障,2025-01,CONTINUE,2,61.76,62.06,True,False,0.31,2024-12,2988.0,2893.0,2893.0,-3.18,,,,,,,,,,,
9332,9332.T,ＮＩＳＳＯホールディングス,2025-01,NEW,1,48.27,48.55,False,True,0.28,2025-01,773.0,773.0,773.0,0.0,766.04,777.05,797.63,True,False,False,False,True,False,False,48963.0
5805,5805.T,ＳＷＣＣ,2025-01,CONTINUE,2,89.19,89.44,False,False,0.25,2024-12,7600.0,7610.0,7610.0,0.13,,,,,,,,,,,
8616,8616.T,東海東京  ﾌｨﾅﾝｼｬﾙ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ,2025-01,NEW,1,43.17,43.37,False,True,0.21,2025-01,509.0,509.0,509.0,0.0,490.36,484.21,525.7,True,True,False,False,True,False,False,573407.0
5929,5929.T,三和ホールディングス,2025-01,NEW,1,93.81,93.98,True,True,0.17,2025-01,4880.0,4880.0,4880.0,0.0,4498.0,4333.91,3522.48,True,True,True,True,False,True,True,558950.0
8132,8132.T,シナネンホールディングス,2025-01,CONTINUE,4,83.59,83.74,False,False,0.15,2024-10,6490.0,6500.0,6500.0,0.15,,,,,,,,,,,
5947,5947.T,リンナイ,2025-01,NEW,1,59.13,59.26,False,True,0.14,2025-01,3427.0,3427.0,3427.0,0.0,3294.12,3287.91,3440.7,True,True,False,False,True,False,False,359137.0
7735,7735.T,ＳＣＲＥＥＮホールディングス,2025-01,NEW,1,50.36,50.48,False,True,0.11,2025-01,5462.5,5462.5,5462.5,0.0,5156.04,4947.55,6099.19,True,True,False,False,True,True,False,3424793.0
8056,8056.T,ＢＩＰＲＯＧＹ,2025-01,NEW,1,60.06,60.16,False,True,0.1,2025-01,4811.0,4811.0,4811.0,0.0,4595.4,4616.28,4528.0,True,True,True,False,False,False,False,216893.0
7261,7261.T,マツダ,2025-01,NEW,1,33.13,33.14,False,True,0.01,2025-01,1065.5,1065.5,1065.5,0.0,1047.34,1029.38,1273.07,True,True,False,False,True,False,False,7915017.0
8081,8081.T,カナデン,2025-01,NEW,1,50.6,50.61,True,True,0.01,2025-01,1483.0,1483.0,1483.0,0.0,1474.92,1467.79,1510.06,True,True,False,False,True,True,False,18423.0
