code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct
6844,6844.T,新電元工業,2023-05,OUT,1,52.06,62.56,False,True,10.5,2023-05,3250.0,3250.0,3250.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,3255.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,
6914,6914.T,オプテックスグループ,2023-05,OUT,1,57.11,63.57,False,True,6.46,2023-05,1945.0,1945.0,1945.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,2020.0,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,
6923,6923.T,スタンレー電気,2023-05,OUT,10,59.72,68.98,True,True,9.26,2022-08,2587.0,2813.0,2813.0,8.74,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,2901.0,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,
6962,6962.T,大真空,2023-05,OUT,1,21.04,35.07,False,True,14.03,2023-05,653.0,653.0,653.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,650.0,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,
6965,6965.T,浜松ホトニクス,2023-05,OUT,1,54.79,78.83,False,True,24.04,2023-05,3555.0,3555.0,3555.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,3513.0,-1.18,,,,,,,,,,,,,,,,,,,,,,,,,,
6986,6986.T,双葉電子工業,2023-05,OUT,1,24.77,32.71,False,True,7.94,2023-05,494.0,494.0,494.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,482.0,-2.43,,,,,,,,,,,,,,,,,,,,,,,,,,
6997,6997.T,日本ケミコン,2023-05,OUT,2,35.29,39.42,False,False,4.13,2023-04,2016.0,1222.0,1222.0,-39.38,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1249.0,-38.05,,,,,,,,,,,,,,,,,,,,,,,,,,
7220,7220.T,武蔵精密工業,2023-05,OUT,10,55.4,62.02,True,True,6.62,2022-08,1698.0,1689.0,1689.0,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1763.0,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,
7347,7347.T,マーキュリアホールディングス,2023-05,OUT,1,68.53,72.4,True,True,3.87,2023-05,700.0,700.0,700.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,766.0,9.43,,,,,,,,,,,,,,,,,,,,,,,,,,
7366,7366.T,LITALICO,2023-05,OUT,2,43.11,55.83,False,False,12.72,2023-04,2428.0,2375.0,2375.0,-2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,2314.0,-4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
7554,7554.T,幸楽苑,2023-05,OUT,5,25.48,53.19,True,False,27.71,2023-01,1090.0,1034.0,1034.0,-5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1017.0,-6.7,,,,,,,,,,,,,,,,,,,,,,,,,,
7581,7581.T,サイゼリヤ,2023-05,OUT,9,71.24,81.37,True,False,10.13,2022-09,2670.0,3495.0,3495.0,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,3655.0,36.89,,,,,,,,,,,,,,,,,,,,,,,,,,
7613,7613.T,シークス,2023-05,OUT,1,64.2,68.62,True,True,4.42,2023-05,1436.0,1436.0,1436.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1565.0,8.98,,,,,,,,,,,,,,,,,,,,,,,,,,
7628,7628.T,オーハシテクニカ,2023-05,OUT,11,67.05,73.51,False,False,6.46,2022-07,691.0,764.5,764.5,10.64,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,795.5,15.12,,,,,,,,,,,,,,,,,,,,,,,,,,
7762,7762.T,シチズン時計,2023-05,OUT,1,77.59,81.69,True,True,4.09,2023-05,856.0,856.0,856.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,866.0,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,
7818,7818.T,トランザクション,2023-05,OUT,1,78.82,83.6,False,True,4.78,2023-05,838.5,838.5,838.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,955.0,13.89,,,,,,,,,,,,,,,,,,,,,,,,,,
7888,7888.T,三光合成,2023-05,OUT,1,68.01,71.23,True,True,3.22,2023-05,531.0,531.0,531.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,645.0,21.47,,,,,,,,,,,,,,,,,,,,,,,,,,
7921,7921.T,ＴＡＫＡＲＡ＆ＣＯＭＰＡＮＹ,2023-05,OUT,2,60.32,65.47,False,False,5.15,2023-04,2374.0,2201.0,2201.0,-7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,2327.0,-1.98,,,,,,,,,,,,,,,,,,,,,,,,,,
7962,7962.T,キングジム,2023-05,OUT,2,46.33,58.9,False,False,12.58,2023-04,925.0,902.0,902.0,-2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,878.0,-5.08,,,,,,,,,,,,,,,,,,,,,,,,,,
7989,7989.T,立川ブラインド工業,2023-05,OUT,14,61.6,65.53,False,False,3.92,2022-04,1042.0,1230.0,1230.0,18.04,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1274.0,22.26,,,,,,,,,,,,,,,,,,,,,,,,,,
